Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_note,Reserves_t,Reserves_notes
MCS2024,United States,"Mine poduction, Bentonite",4580,4700,,NA,
MCS2024,Brazil (beneficiated),"Mine poduction, Bentonite",220,220,,NA,
MCS2024,China,"Mine poduction, Bentonite",2100,2100,,NA,
MCS2024,Czechia,"Mine poduction, Bentonite",230,230,,NA,
MCS2024,Denmark,"Mine poduction, Bentonite",908,900,,NA,
MCS2024,Greece,"Mine poduction, Bentonite",1420,1400,Includes production of crude ore,NA,
MCS2024,India,"Mine poduction, Bentonite",3700,3700,,NA,
MCS2024,Iran,"Mine poduction, Bentonite",850,850,,NA,
MCS2024,Mexico,"Mine poduction, Bentonite",79,80,,NA,
MCS2024,Russia,"Mine poduction, Bentonite",36,40,,NA,
MCS2024,Spain,"Mine poduction, Bentonite",170,170,,NA,
MCS2024,Turkey,"Mine poduction, Bentonite",2380,2400,,NA,
MCS2024,Uzbekistan,"Mine poduction, Bentonite",50,50,,NA,
MCS2024,Other countries,"Mine poduction, Bentonite",3630,3600,,NA,
MCS2024,World total (rounded),"Mine poduction, Bentonite",20400,20000,Data may not add to totals shown because of independent rounding.,NA,
MCS2024,United States,"Mine poduction, Fuller's earth",2160,2300,Does not include U.S. production of attapulgite.,NA,
MCS2024,Greece,"Mine poduction, Fuller's earth",33,30,,NA,
MCS2024,India,"Mine poduction, Fuller's earth",730,730,,NA,
MCS2024,Mexico,"Mine poduction, Fuller's earth",120,120,,NA,
MCS2024,Senegal,"Mine poduction, Fuller's earth",117,120,,NA,
MCS2024,Spain,"Mine poduction, Fuller's earth",570,570,,NA,
MCS2024,Turkey,"Mine poduction, Fuller's earth",55,60,,NA,
MCS2024,Other countries,"Mine poduction, Fuller's earth",317,320,,NA,
MCS2024,World total (rounded),"Mine poduction, Fuller's earth",4100,4300,Does not include U.S. production of attapulgite. Data may not add to totals shown because of independent rounding.,NA,
MCS2024,United States,"Mine poduction, Kaolin",4340,4400,,NA,
MCS2024,Brazil (beneficiated),"Mine poduction, Kaolin",1200,1200,,NA,
MCS2024,China,"Mine poduction, Kaolin",8400,8400,,NA,
MCS2024,Czechia,"Mine poduction, Kaolin",3100,3100,Includes production of crude ore.,NA,
MCS2024,India,"Mine poduction, Kaolin",8370,8400,Includes production of crude ore.,NA,
MCS2024,Iran,"Mine poduction, Kaolin",2100,2100,,NA,
MCS2024,Mexico,"Mine poduction, Kaolin",240,240,,NA,
MCS2024,Russia,"Mine poduction, Kaolin",2500,2500,,NA,
MCS2024,Spain,"Mine poduction, Kaolin",300,300,Includes production of crude ore.,NA,
MCS2024,Turkey,"Mine poduction, Kaolin",2270,2300,,NA,
MCS2024,Uzbekistan,"Mine poduction, Kaolin",8500,8500,,NA,
MCS2024,Other countries,"Mine poduction, Kaolin",10600,10000,,NA,
MCS2024,World total (rounded)2,"Mine poduction, Kaolin",51900,51000,,NA,
