Source,Country,Type,Prod_kt_est_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, feldspar",540,590,,NA,Rounded to two significant digits to avoid disclosing company proprietary data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Brazil (beneficiated, marketable)","Mine production, feldspar",760,760,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, feldspar",2500,2500,,730000,"Reserves for China, Czechia, Iran, Thailand, and Turkey were revised based on Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Czechia,"Mine production, feldspar",450,450,,54000,"Reserves for China, Czechia, Iran, Thailand, and Turkey were revised based on Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Mine production, feldspar",5000,5000,,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,"Mine production, feldspar",2000,2000,,95000,"Reserves for China, Czechia, Iran, Thailand, and Turkey were revised based on Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Italy,"Mine production, feldspar",2200,2200,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of","Mine production, feldspar",851,900,,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,"Mine production, feldspar",495,460,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Pakistan,"Mine production, feldspar",448,400,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Saudi Arabia,"Mine production, feldspar",550,550,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Spain (includes pegmatites),"Mine production, feldspar",800,800,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Thailand,"Mine production, feldspar",1300,1300,,45000,"Reserves for China, Czechia, Iran, Thailand, and Turkey were revised based on Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Mine production, feldspar",6100,6200,,720000,"Reserves for China, Czechia, Iran, Thailand, and Turkey were revised based on Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, feldspar",2600,2600,,        NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, feldspar",26600,27000,,        NA,considered to be large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
