Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,
,United States,Mine production,76400,68000,,5000000,,,
,Australia,Mine production,388000,390000,,NA,Considered to be moderate to large,,
,China,Mine production,310000,310000,,37000000,,,
,Czechia,Mine production,500,500,Production in 2021 is also estimated.,NA,,,
,India,Mine production,15000,15000,,8600000,,,
,Pakistan,Mine production,1870,1900,,NA,,,
,South Africa,Mine production,179000,180000,,320000,,,
,World total (rounded),Mine production,971000,970000,,NA,Considered to be moderate to large,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
