Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,
MCS2024,United States,"Refinery production, indium",0,0,NA,,,,,,,,,
MCS2024,Belgium,"Refinery production, indium",19,18,NA,,,,,,,,,
MCS2024,Canada,"Refinery production, indium",39,37,NA,,,,,,,,,
MCS2024,China,"Refinery production, indium",670,650,NA,,,,,,,,,
MCS2024,France,"Refinery production, indium",19,12,NA,,,,,,,,,
MCS2024,Japan,"Refinery production, indium",66,64,NA,,,,,,,,,
MCS2024,"Korea, Republic of","Refinery production, indium",180,200,NA,,,,,,,,,
MCS2024,Russia,"Refinery production, indium",5,5,NA,,,,,,,,,
MCS2024,Uzbekistan,"Refinery production, indium",1,1,NA,,,,,,,,,
MCS2024,World total (rounded),"Refinery production, indium",999,990,NA,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
