Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,
MCS2024,United States,"Mine production, manganese content",0,0,,0,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, manganese content",3040,3000,,500000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 110 million tons.",,,,,,,,,,,,,
MCS2024,Brazil,"Mine production, manganese content",624,620,,270000,,,,,,,,,,,,,,
MCS2024,Burma,"Mine production, manganese content",207,210,,NA,,,,,,,,,,,,,,
MCS2024,China,"Mine production, manganese content",743,740,,280000,,,,,,,,,,,,,,
MCS2024,Côte d’Ivoire,"Mine production, manganese content",394,390,,NA,,,,,,,,,,,,,,
MCS2024,Gabon,"Mine production, manganese content",4670,4600,,61000,,,,,,,,,,,,,,
MCS2024,Georgia,"Mine production, manganese content",166,160,,NA,,,,,,,,,,,,,,
MCS2024,Ghana,"Mine production, manganese content",844,840,,13000,,,,,,,,,,,,,,
MCS2024,India,"Mine production, manganese content",721,720,,34000,,,,,,,,,,,,,,
MCS2024,"Kazakhstan, concentrate","Mine production, manganese content",129,130,,5000,,,,,,,,,,,,,,
MCS2024,Malaysia,"Mine production, manganese content",247,250,,NA,,,,,,,,,,,,,,
MCS2024,Mexico,"Mine production, manganese content",221,220,,5000,,,,,,,,,,,,,,
MCS2024,South Africa,"Mine production, manganese content",7300,7200,,600000,,,,,,,,,,,,,,
MCS2024,"Ukraine, concentrate","Mine production, manganese content",323,320,,140000,,,,,,,,,,,,,,
MCS2024,Vietnam ,"Mine production, manganese content",155,160,,NA,,,,,,,,,,,,,,
MCS2024,Other countries ,"Mine production, manganese content",     325,     330,,NA,"Categorized as ""Small""",,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, manganese content",19800,20000,,1900000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
