Source,Country,Type,Prod_kt_est_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,
MCS2024,United States,Magnesium smelter production,W,W,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,Magnesium smelter production,22,22,,,,,,,,,,,,,,,,,,,,
MCS2024,China,Magnesium smelter production,933,830,Reported in 2022,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,Magnesium smelter production,5,5,,,,,,,,,,,,,,,,,,,,
MCS2024,Israel,Magnesium smelter production,22,22,Reported in 2022,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,Magnesium smelter production,27,25,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,Magnesium smelter production,21,20,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,Magnesium smelter production,14,15,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,Magnesium smelter production,2,0,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded)8,Magnesium smelter production,1050,940,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
