Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, contained molybdenum",34600,34000,,3500,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Argentina,"Mine production, contained molybdenum",0,0,,100,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Armenia,"Mine production, contained molybdenum",7800,7800,Also estimated in 2022,150,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, contained molybdenum",277,500,,690,"6For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 250,000 tons",,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Mine production, contained molybdenum",952,1000,,72,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Chile,"Mine production, contained molybdenum",45600,46000,,1400,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, contained molybdenum",106000,110000,Also estimated in 2022,5800,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,"Mine production, contained molybdenum",3700,3700,Also estimated in 2022,43,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, North","Mine production, contained molybdenum",700,700,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of","Mine production, contained molybdenum",367,400,,8,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,"Mine production, contained molybdenum",15500,15000,,130,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mongolia,"Mine production, contained molybdenum",3000,3100,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,"Mine production, contained molybdenum",31600,37000,,1500,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, contained molybdenum",1700,1700,Also estimated in 2022,1100,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Mine production, contained molybdenum",0,0,,52,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Uzbekistan,"Mine production, contained molybdenum",1700,1700,Also estimated in 2022,21,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, contained molybdenum",253000,260000,,14000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
