Source,Country,Type,Prod_kg_est_2022,Prod_kg_est_2023,Prod_notes,Reserves_kg,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, contained rhenium",8870,9100,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Armenia,"Mine production, contained rhenium",260,280,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Chile,"Mine production, contained rhenium",29000,30000,"Estimated rhenium recovered from roaster residues from Belgium, Chile, Mexico, and Peru. Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included",1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, contained rhenium",2500,2500,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,19200,Reserves for China were revised based on Government reports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,"Mine production, contained rhenium",500,500,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of","Mine production, contained rhenium",2800,2800,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Poland,"Mine production, contained rhenium",6310,6300,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, contained rhenium",NA,NA,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Uzbekistan,"Mine production, contained rhenium",4900,4900,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,           NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, contained rhenium",55100,56000,Estimated amount of rhenium recovered in association with copper and molybdenum production. Secondary rhenium production not included,           NA,"World reserves are categorized as ""Large""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
